m.05qck	Presidential Medal of Freedom	award.award_category,award.award,book.book_subject
m.01qv6v	Gjirokastër	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.07cfx	Tasmania	location.location,organization.organization_scope,symbols.namesake,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.0dyl9	Milwaukee	location.location,location.place_with_neighborhoods,location.hud_county_place,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,government.governmental_jurisdiction
m.021npd	Scarborough, North Yorkshire	organization.organization_scope,location.location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.0chgzm	Melbourne	organization.organization_scope,location.location,symbols.namesake,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.03f_dg	Kalamata	location.location,location.administrative_division,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.02_zd0	Cidra	location.location,location.hud_county_place,location.administrative_division,location.statistical_region,location.us_county,location.citytown,government.governmental_jurisdiction
m.0d0ynw	Hetland	location.location,location.statistical_region,location.citytown
m.03s5t	Idaho	organization.organization_scope,location.location,location.administrative_division,government.political_district,location.statistical_region,business.employer,book.book_subject,symbols.name_source,government.governmental_jurisdiction
m.0b6hvw	Ustyuzhna	location.location,location.statistical_region,location.citytown
m.0261pnq	Skjeberg	location.location,location.statistical_region,location.citytown
m.024lnr	Rickmansworth	location.location,location.statistical_region,location.citytown
m.0978r	Cambridge	organization.organization_scope,location.location,location.statistical_region,travel.travel_destination,symbols.name_source,location.citytown,location.administrative_division,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.03lrc	Hampshire	location.location,location.administrative_division,sports.sports_team_location,organization.organization_member,location.statistical_region,travel.travel_destination,symbols.name_source
m.0b1jgp	Załęże	location.location
m.04cjn	Karachi	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.01lfvj	Cremona	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0f_f7	Charente-Maritime	location.location,location.administrative_division,location.statistical_region
m.0mnst	Halifax County	location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.us_county
m.01dzq6	Richmond, London	organization.organization_scope,location.location,sports.sports_team_location,location.statistical_region,travel.travel_destination,location.citytown
m.0v060	New Braintree	location.location,location.statistical_region,location.citytown
m.01kq5	Ballarat	location.location,location.administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.04p3c	Leeds	organization.organization_scope,location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.0dlqv	Santiago	organization.organization_scope,location.location,location.place_with_neighborhoods,film.film_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.01mnpf	Viroqua	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.02x85m5	West Dean, West Sussex	location.location,location.administrative_division,location.statistical_region
m.0145v_	Béthune	location.location,location.statistical_region,location.citytown
m.0dkg9x	Saint-Vallier, Quebec	location.location,location.statistical_region,location.citytown
m.01_dpt	Sackville	location.location,location.statistical_region,business.employer,location.citytown
m.0mts3	Bedford County	location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.us_county
m.0ft08	Limassol	location.location,film.film_location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.03spz	Israel	biology.breed_origin,organization.organization_scope,location.location,media_common.netflix_genre,film.film_location,organization.organization_member,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,location.administrative_division,sports.sport_country,government.governmental_jurisdiction,location.country,location.statistical_region,sports.sports_team_location,periodicals.newspaper_circulation_area,book.book_subject
m.0y030	Alabama	location.location,location.statistical_region,location.citytown
m.02kbsr	Hyde	location.location,location.statistical_region,location.citytown
m.0_3cs	Allentown	organization.organization_scope,location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.01505k	Aleppo	location.location,location.administrative_division,location.statistical_region,protected_sites.listed_site,travel.travel_destination,location.citytown
m.021wvg	Bray	location.location,film.film_location,sports.sports_team_location,location.statistical_region,location.citytown
m.01hbbt	Rarotonga	location.location,geography.island,location.statistical_region
m.01wqq_	Hirado	location.location,location.statistical_region,location.citytown
m.0ftn8	Tunis	location.location,location.administrative_division,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,government.governmental_jurisdiction
m.018b45	Overhalla	location.location,location.statistical_region,location.citytown
m.01s2jm	Kozani	location.location,location.administrative_division,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.citytown
m.01nh1c	Dudley	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.0f04c	Palo Alto	location.location,organization.organization_scope,location.hud_county_place,fictional_universe.fictional_setting,location.statistical_region,travel.travel_destination,location.citytown,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.018d93	Sandnessjøen	location.location,location.statistical_region,location.citytown
m.02tgvy	Novo Mesto	location.location,location.administrative_division,sports.sports_team_location,location.statistical_region,location.citytown
m.02z93w_	Villada	location.location,location.statistical_region,location.citytown
m.061k5	Parma	location.location,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0ftlx	Tehran	location.location,location.administrative_division,sports.sports_team_location,film.film_location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,book.book_subject,location.citytown,government.governmental_jurisdiction
m.07z1m	Virginia	meteorology.cyclone_affected_area,organization.organization_scope,location.location,organization.organization_sector,symbols.namesake,fictional_universe.fictional_setting,government.political_district,location.statistical_region,symbols.name_source,location.administrative_division,periodicals.newspaper_circulation_area,book.book_subject,business.employer,government.governmental_jurisdiction
m.02f2cz	Hurley	location.location,location.administrative_division,location.statistical_region,location.citytown
m.080h2	Vancouver	organization.organization_scope,location.location,location.place_with_neighborhoods,symbols.namesake,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,travel.travel_destination,location.citytown,architecture.architectural_structure_owner,location.administrative_division,sports.sports_team_location,business.business_location,periodicals.newspaper_circulation_area,business.employer,government.governmental_jurisdiction
m.02vtt48	Tiddington, Warwickshire	location.location,location.statistical_region
m.05tbn	Pennsylvania	meteorology.cyclone_affected_area,organization.organization_scope,location.location,symbols.namesake,fictional_universe.fictional_setting,film.film_location,government.political_district,location.statistical_region,symbols.name_source,location.administrative_division,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.0hx5f	Durham, England	organization.organization_scope,location.location,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown
m.0d_kd	Suffolk County	organization.organization_scope,location.location,location.administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,location.us_county,government.governmental_jurisdiction
m.027hryh	Queen Charlotte's and Chelsea Hospital	location.location,medicine.hospital
m.019fc4	Coimbatore	location.location,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.01xnz3	Goshen	location.location,location.statistical_region,location.citytown
m.0ftms	Thimphu	location.location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,periodicals.newspaper_circulation_area,travel.travel_destination,location.citytown
m.01z2sn	Wrexham	organization.organization_scope,location.location,location.capital_of_administrative_division,location.statistical_region,travel.travel_destination,location.citytown
m.026jq9n	Nidubrolu	location.location
m.027sjl	Echo Park	location.location,location.neighborhood,location.statistical_region
m.0z2lx	New Philadelphia	location.location,location.hud_county_place,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0dt4ht	Saint-Valery	location.location,location.statistical_region,location.citytown
m.013yq	Atlanta	organization.organization_scope,location.location,location.place_with_neighborhoods,location.hud_county_place,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,sports.sports_team_location,business.business_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,business.employer,book.book_subject,government.governmental_jurisdiction
m.0sbf4	Sumner	location.location,location.hud_county_place,location.statistical_region,location.citytown
m.091ykk	Shaunavon	location.location,location.statistical_region,location.citytown
m.0t_35	Littleton	location.location,location.statistical_region,location.citytown
m.01w2v	Cairo	location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,location.administrative_division,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject
m.018djs	Brantford	location.location,sports.sports_team_location,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.02brc	Dartmouth	location.location,location.administrative_division,government.political_district,location.statistical_region,travel.travel_destination,location.citytown
m.01m0rb	Galați	location.location,sports.sports_team_location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0179d1	Prescott	location.location,location.statistical_region,location.citytown
m.0y7r7	Hornellsville	location.location,location.statistical_region,location.citytown
m.02gw_w	Croydon	location.location,location.statistical_region,travel.travel_destination,location.citytown
m.0zl0w	Caernarvon Township	location.location,location.statistical_region,location.citytown
m.06w51v	Yurihonjo	location.location,location.statistical_region,location.citytown
m.0749bj	Abdeen Palace	architecture.museum,location.location,architecture.structure,travel.tourist_attraction
m.01k5qd	Opava	location.location,location.capital_of_administrative_division,location.statistical_region,location.citytown
m.0167q3	Bridgeport	organization.organization_scope,location.location,location.place_with_neighborhoods,location.hud_county_place,film.film_location,periodicals.newspaper_circulation_area,location.statistical_region,travel.travel_destination,location.citytown,government.governmental_jurisdiction
m.0hsqf	Seoul	location.location,organization.organization_scope,location.place_with_neighborhoods,film.film_location,location.statistical_region,travel.travel_destination,location.citytown,location.administrative_division,sports.sports_team_location,award.award_winner,periodicals.newspaper_circulation_area,book.book_subject
m.0c8wxp	Catholicism	visual_art.art_period_movement,religion.religion,book.book_subject
m.05sfs	Protestantism	education.field_of_study,military.military_combatant,film.film_subject,religion.religion,book.book_subject
m.0dtdq	Jehovah's Witnesses	film.film_subject,religion.religion,book.book_subject
m.05k5z	Nichiren Buddhism	religion.religion
m.01ld4n	Congregational church	religion.religion
m.051kv	Methodism	religion.religion
m.02vxy_	Roman Catholic Church	architecture.architectural_structure_owner,organization.organization,religion.religion,organization.organization_founder,book.book_subject,business.employer
m.0flw86	Islam	education.field_of_study,film.film_subject,religion.religion,book.book_subject
m.04pk9	Lutheranism	people.ethnicity,religion.religion,book.book_subject
m.01lp8	Christianity	education.field_of_study,organization.organization_sector,film.film_genre,religion.religion,media_common.literary_genre,book.book_subject
m.019cr	Baptists	religion.religion,book.book_subject
m.0631_	Presbyterianism	religion.religion
m.05w5d	Pentecostalism	religion.religion
m.06gjr	Raëlism	organization.organization,religion.religion,business.employer
m.03_gx	Judaism	education.field_of_study,organization.organization_sector,media_common.netflix_genre,film.film_subject,religion.religion,book.book_subject
m.023sbm	Umbanda	religion.religion
m.072w0	Seventh-day Adventist Church	organization.organization,book.periodical_publisher,religion.religion,organization.organization_founder
m.092bf5	Buddhism	education.field_of_study,influence.influence_node,film.film_subject,religion.religion,media_common.literary_genre,book.book_subject
m.02t7t	Evangelicalism	religion.religion
m.0n2g	Anglicanism	religion.religion
m.04y29	Muslim	film.film_subject,religion.religion,book.book_subject
m.0bk_9	Rastafari movement	religion.religion
m.025t7ly	Quakers	religion.religion,book.book_subject
m.01t7j	Calvinism	religion.religion,book.book_subject
m.07mfk	Theravada	education.educational_institution,organization.organization,religion.religion,business.employer
m.026fns	Latter Day Saint movement	religion.religion,book.book_subject
m.06pq6	Shia Islam	religion.religion,book.book_subject
m.0xns7	Christian Science	organization.organization,religion.religion
m.07w8f	Unitarian Universalism	religion.religion
m.01cjt	Bahá'í Faith	religion.religion,book.book_subject
m.01cj3p	Spiritualism	religion.religion,media_common.literary_genre,book.book_subject
m.05my9	Orthodox Judaism	film.film_subject,religion.religion,book.book_subject
m.07gvx	Taoism	religion.religion,book.book_subject
m.09_r16	Melbourne Ice	organization.organization,sports.sports_team
m.04wmvz	Los Angeles Angels of Anaheim	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee,award.award_winner
m.0kwv2	Athletic Bilbao	organization.organization,sports.sports_team,soccer.football_team
m.04lh6	Liverpool	organization.organization_scope,location.location,fictional_universe.fictional_setting,film.film_location,location.statistical_region,travel.travel_destination,protected_sites.listed_site,location.citytown,symbols.name_source,location.administrative_division,sports.sports_team_location,location.capital_of_administrative_division,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.02b0yz	Colchester United F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.0jnq8	Los Angeles Kings	sports.professional_sports_team,sports.sports_team,award.award_nominee,award.award_winner,business.employer
m.016gp5	Reading F.C.	sports.sports_award_winner,organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.03lsq	Houston Texans	sports.professional_sports_team,american_football.football_team,sports.sports_team,award.award_nominee
m.08bn2z	Paniliakos F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.02pp1	England national football team	organization.organization,sports.sports_team,award.award_winner,soccer.football_team
m.02b1k5	Hereford United F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0j6tr	Toronto Maple Leafs	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee,business.employer
m.088_kf	U.S. Grosseto F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0bl8l	Aston Villa F.C.	organization.organization,sports.sports_team,soccer.football_team
m.06rpd	San Diego Chargers	sports.professional_sports_team,american_football.football_team,sports.sports_team,award.award_nominee,business.employer
m.0jmh7	San Antonio Spurs	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,award.award_nominee,award.award_winner
m.05pbnht	Las Vegas Locomotives	american_football.football_team,sports.sports_team
m.09z4rh	Bramley Buffaloes	organization.organization,sports.sports_team
m.01z1r	Charlton Athletic F.C.	organization.organization,sports.professional_sports_team,sports.sports_team,award.award_nominee,award.award_winner,business.employer,soccer.football_team
m.0jnng	Minnesota Wild	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_winner
m.03mg3l	PFC Litex Lovech	organization.organization,sports.sports_team,soccer.football_team
m.02896	Dallas Cowboys	sports.professional_sports_team,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,film.film_subject,award.award_nominee,award.award_winner,book.book_subject
m.03l7qs	Raith Rovers F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0408w03	Bangkok F.C.	organization.organization,sports.sports_team,soccer.football_team
m.01bdxz	Torquay United F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0xbm	Arsenal F.C.	sports.sports_award_winner,sports.professional_sports_team,organization.organization,sports.sports_team,business.business_operation,award.award_winner,book.book_subject,business.employer,soccer.football_team
m.0bszz	Montreal Canadiens	sports.professional_sports_team,organization.organization,sports.sports_team,book.book_subject,business.employer
m.05tfm	Pittsburgh Steelers	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,business.brand,award.award_winner,business.employer
m.03fmyg	Íþróttabandalag Akraness	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.04g815	Plymouth Albion R.F.C.	sports.sports_team
m.061xq	Pittsburgh Pirates	sports.professional_sports_team,organization.organization,sports.sports_team,business.brand,award.award_winner
m.01ync	Colorado Rockies	sports.professional_sports_team,sports.sports_team,book.book_subject,business.employer
m.01j48s	D.C. United	organization.organization,sports.sports_team,soccer.football_team
m.02ryc8t	Portland Pythons	sports.sports_team,soccer.football_team
m.02b1yn	Ayr United F.C.	organization.organization,sports.sports_team,soccer.football_team
m.01d5z	Boston Red Sox	sports.professional_sports_team,sports.sports_team,film.person_or_entity_appearing_in_film,film.film_subject,award.award_nominee,award.award_winner,book.book_subject
m.05z_b__	International Allies F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.06x76	St. Louis Rams	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,tv.tv_actor,award.award_nominee,award.award_winner,business.employer
m.02b15h	Doncaster Rovers F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.06lkg8	Eastbourne Borough F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.05z8c9	Landskrona BoIS	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.0jmk7	Los Angeles Lakers	sports.professional_sports_team,organization.organization,sports.sports_team,basketball.basketball_team,award.award_nominee,business.business_operation,award.award_winner,business.employer
m.03qlh8w	Akritas Chlorakas	organization.organization,sports.sports_team,soccer.football_team
m.03sbdx	Scarborough F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.05_jnj	Club of Remo	sports.sports_team,soccer.football_team
m.09tgp2	Rugby Town F.C.	sports.sports_team,business.employer,soccer.football_team
m.04lw2b	HC Dynamo Moscow	organization.organization,sports.sports_team
m.09tv2x	Dartford F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.08z67p	MTK Budapest FC	sports.sports_team,soccer.football_team
m.01yjl	Chicago Cubs	sports.professional_sports_team,sports.sports_team,award.award_nominee,book.book_subject
m.01jv_6	BC Lions	sports.professional_sports_team,sports.sports_team,american_football.football_team
m.01d6g	Baltimore Orioles	sports.professional_sports_team,sports.sports_team
m.01cwq9	Port Vale F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0b934c	Ħamrun Spartans F.C.	organization.organization,sports.sports_team,soccer.football_team
m.03wtlx	Connacht Rugby	sports.professional_sports_team,organization.organization,sports.sports_team,business.employer
m.0jnrk	San Jose Sharks	sports.professional_sports_team,organization.organization,sports.sports_team,business.employer
m.03m1n	Houston Astros	sports.professional_sports_team,sports.sports_team,award.award_nominee,business.employer
m.01j_jh	Bristol Rovers F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0b94kb	Hastings United F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.03whyfd	A.F.C. Liverpool	sports.sports_team,soccer.football_team
m.0n1d4	St Kilda Football Club	organization.organization,sports.sports_team
m.02b10g	Stockport County F.C.	organization.organization,sports.sports_team,award.award_nominee,soccer.football_team
m.061d_5	Club Atlético Atlanta	organization.organization,sports.sports_team,soccer.football_team
m.05tg3	Philadelphia Eagles	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,tv.tv_actor,award.award_nominee,award.award_winner,business.employer,book.book_subject
m.05zl3y7	Stilon Gorzów Wielkopolski	organization.organization,sports.sports_team,soccer.football_team
m.027pwl	Bradford City A.F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.068s4x	Toronto Falcons	sports.sports_team,soccer.football_team
m.015_z1	Gillingham F.C.	organization.organization,sports.sports_team,soccer.football_team
m.06rny	San Francisco 49ers	organization.organization,sports.professional_sports_team,sports.sports_team,american_football.football_team,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner,business.employer
m.01xn6gh	Gaziantep Büyükşehir Belediyespor	organization.organization,sports.sports_team,soccer.football_team
m.07cq7d	Club Atlético Huracán	organization.organization,sports.sports_team,soccer.football_team
m.04jc58	RBC Roosendaal	organization.organization,sports.sports_team,soccer.football_team
m.078szn	Gimnasia y Esgrima de Jujuy	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.08lssh	Club Atlético Nueva Chicago	organization.organization,sports.sports_team,soccer.football_team
m.01lpxn	Winnipeg Blue Bombers	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team
m.02b0xq	A.F.C. Bournemouth	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.0j47s	Rangers F.C.	organization.organization,sports.sports_team,business.business_operation,business.employer,soccer.football_team
m.03nlvw5	Fall River Rovers	organization.organization,sports.sports_team,soccer.football_team
m.0kz4w	Bologna F.C. 1909	organization.organization,sports.sports_team,soccer.football_team
m.0jnl5	Washington Capitals	sports.professional_sports_team,sports.sports_team
m.04v8k9	Crusaders F.C.	organization.organization,sports.sports_team,soccer.football_team
m.03l7_n	Peterhead F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0jml5	Phoenix Suns	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,tv.tv_actor
m.02lj5_	Cronulla-Sutherland Sharks	sports.sports_team
m.02dhym	Penrith Panthers	sports.professional_sports_team,sports.sports_team
m.01kwhf	Norwich City F.C.	sports.sports_award_winner,organization.organization,sports.sports_team,award.award_nominee,award.award_winner,business.employer,soccer.football_team
m.03kgss	Newport Gwent Dragons	organization.organization,sports.sports_team
m.01h0b0	Partick Thistle F.C.	organization.organization,sports.sports_team,soccer.football_team
m.026bhcs	BC Dynamo Moscow	organization.organization,sports.sports_team,basketball.basketball_team
m.03h7n2	Warrington Wolves	organization.organization,sports.sports_team
m.02b153	Darlington F.C.	organization.organization,sports.sports_team,soccer.football_team
m.03lb76	FC St. Pauli	organization.organization,sports.sports_team,soccer.football_team
m.01slc	Chicago White Sox	sports.professional_sports_team,sports.sports_team,award.award_nominee
m.01xn7x1	Leeds United F.C.	sports.sports_award_winner,organization.organization,sports.sports_team,award.award_nominee,soccer.football_team
m.0jmcb	Toronto Raptors	sports.professional_sports_team,award.award_nominated_work,sports.sports_team,basketball.basketball_team
m.0bv1z0	Beylerbeyi S.K.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.07clhx	Stamford A.F.C.	sports.sports_team,business.employer,soccer.football_team
m.0crfbr7	Pittsburgh Power	sports.sports_team
m.06qm95	FC Emmen	organization.organization,sports.sports_team,soccer.football_team
m.04knvh	Shamrock Rovers F.C.	organization.organization,sports.sports_team,soccer.football_team
m.0w1g1hb	FC Obolon Kyiv	organization.organization,sports.sports_team
m.0ggxmz	Racing Métro 92	sports.sports_team
m.03x6rj	AEK Athens F.C.	organization.organization,sports.sports_team,soccer.football_team
m.01tqfs	Sheffield United F.C.	sports.sports_team,award.award_nominee,soccer.football_team
m.063_lw0	HB Køge	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.08wt7x	Rocester F.C.	sports.sports_team,business.employer,soccer.football_team
m.01lj1t	Minnesota Thunder	organization.organization,sports.sports_team,soccer.football_team
m.07qdxb	Swansea RFC	organization.organization,sports.sports_team
m.02wwjy3	FK Metalac Gornji Milanovac	organization.organization,sports.sports_team,soccer.football_team
m.05g49	New York Jets	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,tv.tv_actor,award.award_nominee,award.award_winner,business.employer
m.07l8x	Texas Rangers	sports.professional_sports_team,sports.sports_team,award.award_nominee,business.employer
m.084l5	Washington Redskins	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,business.business_operation,business.employer
m.050fh	Manchester United F.C.	sports.sports_award_winner,business.sponsored_recipient,sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee,award.award_winner,business.employer,soccer.football_team
m.051vz	Milwaukee Brewers	organization.organization,sports.professional_sports_team,sports.sports_team,business.employer
m.0kqbh	PSV Eindhoven	sports.sports_award_winner,organization.organization,sports.sports_team,business.employer,soccer.football_team
m.01k2xy	San Jose Earthquakes	organization.organization,sports.sports_team,soccer.football_team
m.01ypc	Cincinnati Reds	sports.professional_sports_team,organization.organization,sports.sports_team
m.04x3vs	Guarani FC	organization.organization,sports.sports_team,soccer.football_team
m.06mkqn	Enyimba International F.C.	organization.organization,sports.sports_team,soccer.football_team
m.08xb5v	Bury Town F.C.	sports.sports_team,business.employer,soccer.football_team
m.0dq24s	MFK Košice	organization.organization,sports.sports_team,soccer.football_team
m.0x2p	Atlanta Braves	organization.organization,sports.professional_sports_team,sports.sports_team,award.award_nominee
m.02b149	Carlisle United F.C.	organization.organization,sports.sports_team,soccer.football_team
m.09l9wf	Leek Town F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.01yhm	Cleveland Indians	sports.professional_sports_team,sports.sports_team,tv.tv_actor
m.0jmfv	Memphis Grizzlies	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,award.award_nominee
m.01rl_3	Middlesbrough F.C.	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.0j8sq	Montreal Alouettes	sports.professional_sports_team,sports.sports_team,american_football.football_team,business.employer
m.02gjt4	Milton Keynes Dons F.C.	organization.organization,sports.sports_team,award.award_nominee,award.award_winner,soccer.football_team
m.08zsgc	Burgess Hill Town F.C.	sports.sports_team,business.employer,soccer.football_team
m.0jmhr	Utah Jazz	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,tv.tv_actor,business.employer
m.07ycgl	Paykan F.C.	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.070xg	Seattle Seahawks	organization.organization,sports.professional_sports_team,sports.sports_team,american_football.football_team,award.award_nominee,award.award_winner
m.02b16p	Lincoln City F.C.	organization.organization,sports.sports_team,award.award_nominee,business.employer,soccer.football_team
m.0403nnf	Dayton Dynamo	sports.sports_team,soccer.football_team
m.0hvjr	Tottenham Hotspur F.C.	sports.sports_award_winner,organization.organization,sports.sports_team,award.award_winner,business.employer,soccer.football_team
m.05gg4	New York Giants	sports.professional_sports_team,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner,business.employer
m.051q5	Minnesota Vikings	sports.professional_sports_team,american_football.football_team,sports.sports_team,film.person_or_entity_appearing_in_film,tv.tv_actor
m.01xvb	Cleveland Browns	sports.professional_sports_team,organization.organization,american_football.football_team,sports.sports_team,award.award_winner
m.0jm3b	Brooklyn Nets	sports.professional_sports_team,sports.sports_team,basketball.basketball_team,tv.tv_actor,award.award_nominee,business.employer
m.0k_l4	Southampton F.C.	sports.sports_award_winner,organization.organization,sports.sports_team,award.award_nominee,soccer.football_team
m.0lr76	Phoenix Mercury	sports.professional_sports_team,organization.organization,sports.sports_team,basketball.basketball_team
m.03j70t	F.C. Copenhagen	sports.professional_sports_team,organization.organization,sports.sports_team,business.employer,soccer.football_team
m.06l22	Real Madrid C.F.	organization.organization,sports.sports_team,award.award_nominee,business.business_operation,soccer.football_team
m.04mjl	Los Angeles Dodgers	sports.professional_sports_team,organization.organization,sports.sports_team,film.person_or_entity_appearing_in_film,award.award_nominee,award.award_winner,book.book_subject
m.02__x	Miami Marlins	sports.professional_sports_team,organization.organization,sports.sports_team,award.award_nominee
m.01y3c	Carolina Panthers	sports.professional_sports_team,american_football.football_team,sports.sports_team,tv.tv_actor,award.award_nominee,award.award_winner
m.05zyvf2	Tatabánya KC	organization.organization,sports.sports_team
m.03jb2n	Eintracht Frankfurt	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.04z7yx	Anadolu Efes S.K.	business.sponsored_recipient,organization.organization,sports.sports_team,basketball.basketball_team
m.07k3m3	K.V. Oostende	organization.organization,sports.sports_team,business.employer,soccer.football_team
m.077qn	Serbia	biology.breed_origin,organization.organization_scope,location.location,location.country,organization.organization_member,location.statistical_region,travel.travel_destination,military.military_combatant,olympics.olympic_participating_country,organization.organization_founder,sports.sports_team_location,sports.sport_country,periodicals.newspaper_circulation_area,book.book_subject,government.governmental_jurisdiction
m.01jdxj	Aberdeen F.C.	organization.organization,sports.sports_team,soccer.football_team
m.05g76	New York Mets	sports.professional_sports_team,organization.organization,sports.sports_team,film.film_subject,award.award_nominee,business.business_operation,business.employer
m.088hr5	S.S.D. Pro Sesto Calcio	organization.organization,sports.sports_team,business.employer,soccer.football_team
